internal_id,num_of_duplicates,num_of_missing_key_frames,num_of_non_key_frames,generated_pdf_key_frame_count,reference_pdf_key_frame_count,accuracy,precision,similarity_score
ulgywi_fbr_esa,1,3,4,8,6,0.5,0.375,0.3
ulgywi_fbr,1,0,7,8,0,0.0,0.0,0.0
